,symboling,normalized-losses, wheel-base, length, width, height, curb-weight, engine-size, compression-ratio, horsepower, peak-rpm, city-mpg, highway-mpg,  price,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location, engine-type, num-of-cylinders, fuel-system, bore, stroke,  price
0,3.0,115.0,88.6,168.8,64.1,48.8,2548.0,130.0,9.0,111.0,5000.0,21.0,27.0,13495.0,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi,3.47,2.68,13495
1,3.0,115.0,88.6,168.8,64.1,48.8,2548.0,130.0,9.0,111.0,5000.0,21.0,27.0,16500.0,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi,3.47,2.68,16500
2,1.0,115.0,94.5,171.2,65.5,52.4,2823.0,152.0,9.0,154.0,5000.0,19.0,26.0,16500.0,alfa-romero,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,2.68,3.47,16500
3,2.0,164.0,99.8,176.6,66.2,54.3,2337.0,109.0,10.0,102.0,5500.0,24.0,30.0,13950.0,audi,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.19,3.40,13950
4,2.0,164.0,99.4,176.6,66.4,54.3,2824.0,136.0,8.0,115.0,5500.0,18.0,22.0,17450.0,audi,gas,std,four,sedan,4wd,front,ohc,five,mpfi,3.19,3.40,17450
5,2.0,115.0,99.8,177.3,66.3,53.1,2507.0,136.0,8.5,110.0,5500.0,19.0,25.0,15250.0,audi,gas,std,two,sedan,fwd,front,ohc,five,mpfi,3.19,3.40,15250
6,1.0,158.0,105.8,192.7,71.4,55.7,2844.0,136.0,8.5,110.0,5500.0,19.0,25.0,17710.0,audi,gas,std,four,sedan,fwd,front,ohc,five,mpfi,3.19,3.40,17710
7,1.0,115.0,105.8,192.7,71.4,55.7,2954.0,136.0,8.5,110.0,5500.0,19.0,25.0,18920.0,audi,gas,std,four,wagon,fwd,front,ohc,five,mpfi,3.19,3.40,18920
8,1.0,158.0,105.8,192.7,71.4,55.9,3086.0,131.0,8.3,140.0,5500.0,17.0,20.0,23875.0,audi,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi,3.13,3.40,23875
9,0.0,115.0,99.5,178.2,67.9,52.0,3053.0,131.0,7.0,160.0,5500.0,16.0,22.0,10295.0,audi,gas,turbo,two,hatchback,4wd,front,ohc,five,mpfi,3.13,3.40,13499
10,2.0,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,8.8,101.0,5800.0,23.0,29.0,16430.0,bmw,gas,std,two,sedan,rwd,front,ohc,four,mpfi,3.50,2.80,16430
11,0.0,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,8.8,101.0,5800.0,23.0,29.0,16925.0,bmw,gas,std,four,sedan,rwd,front,ohc,four,mpfi,3.50,2.80,16925
12,0.0,188.0,101.2,176.8,64.8,54.3,2710.0,164.0,9.0,121.0,4250.0,21.0,28.0,20970.0,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,3.31,3.19,20970
13,0.0,188.0,101.2,176.8,64.8,54.3,2765.0,164.0,9.0,121.0,4250.0,21.0,28.0,21105.0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,3.31,3.19,21105
14,1.0,115.0,103.5,189.0,66.9,55.7,3055.0,164.0,9.0,121.0,4250.0,20.0,25.0,24565.0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,3.31,3.19,24565
15,0.0,115.0,103.5,189.0,66.9,55.7,3230.0,209.0,8.0,182.0,5400.0,16.0,22.0,30760.0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,3.62,3.39,30760
16,0.0,115.0,103.5,193.8,67.9,53.7,3380.0,209.0,8.0,182.0,5400.0,16.0,22.0,41315.0,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,3.62,3.39,41315
17,0.0,115.0,110.0,197.0,70.9,56.3,3505.0,209.0,8.0,182.0,5400.0,15.0,20.0,36880.0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,3.62,3.39,36880
18,2.0,121.0,88.4,141.1,60.3,53.2,1488.0,61.0,9.5,48.0,5100.0,47.0,53.0,5151.0,chevrolet,gas,std,two,hatchback,fwd,front,l,three,2bbl,2.91,3.03,5151
19,1.0,98.0,94.5,155.9,63.6,52.0,1874.0,90.0,9.6,70.0,5400.0,38.0,43.0,6295.0,chevrolet,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.03,3.11,6295
20,0.0,81.0,94.5,158.8,63.6,52.0,1909.0,90.0,9.6,70.0,5400.0,38.0,43.0,6575.0,chevrolet,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.03,3.11,6575
21,1.0,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,9.41,68.0,5500.0,37.0,41.0,5572.0,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97,3.23,5572
22,1.0,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,9.4,68.0,5500.0,31.0,38.0,6377.0,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97,3.23,6377
23,1.0,118.0,93.7,157.3,63.8,50.8,2128.0,98.0,7.6,102.0,5500.0,24.0,30.0,7957.0,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi,3.03,3.39,7957
24,1.0,148.0,93.7,157.3,63.8,50.6,1967.0,90.0,9.4,68.0,5500.0,31.0,38.0,6229.0,dodge,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,2.97,3.23,6229
25,1.0,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,9.4,68.0,5500.0,31.0,38.0,6692.0,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,2.97,3.23,6692
26,1.0,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,9.4,68.0,5500.0,31.0,38.0,7609.0,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,2.97,3.23,7609
27,1.0,148.0,93.7,157.3,63.8,50.6,2191.0,98.0,7.6,102.0,5500.0,24.0,30.0,8558.0,dodge,gas,turbo,four,sedan,fwd,front,ohc,four,mpfi,3.03,3.39,8558
28,-1.0,110.0,103.3,174.6,64.6,59.8,2535.0,122.0,8.5,88.0,5000.0,24.0,30.0,8921.0,dodge,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.34,3.46,8921
29,3.0,145.0,95.9,173.2,66.3,50.2,2811.0,156.0,7.0,145.0,5000.0,19.0,24.0,12964.0,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi,3.60,3.90,12964
30,2.0,137.0,86.6,144.6,63.9,50.8,1713.0,92.0,9.6,58.0,4800.0,49.0,54.0,6479.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,2.91,3.41,6479
31,2.0,137.0,86.6,144.6,63.9,50.8,1819.0,92.0,9.2,76.0,6000.0,31.0,38.0,6855.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,2.91,3.41,6855
32,1.0,101.0,93.7,150.0,64.0,52.6,1837.0,79.0,10.1,60.0,5500.0,38.0,42.0,5399.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,2.91,3.07,5399
33,1.0,101.0,93.7,150.0,64.0,52.6,1940.0,92.0,9.2,76.0,6000.0,30.0,34.0,6529.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,2.91,3.41,6529
34,1.0,101.0,93.7,150.0,64.0,52.6,1956.0,92.0,9.2,76.0,6000.0,30.0,34.0,7129.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,2.91,3.41,7129
35,0.0,110.0,96.5,163.4,64.0,54.5,2010.0,92.0,9.2,76.0,6000.0,30.0,34.0,7295.0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,2.91,3.41,7295
36,0.0,78.0,96.5,157.1,63.9,58.3,2024.0,92.0,9.2,76.0,6000.0,30.0,34.0,7295.0,honda,gas,std,four,wagon,fwd,front,ohc,four,1bbl,2.92,3.41,7295
37,0.0,106.0,96.5,167.5,65.2,53.3,2236.0,110.0,9.0,86.0,5800.0,27.0,33.0,7895.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,3.15,3.58,7895
38,0.0,106.0,96.5,167.5,65.2,53.3,2289.0,110.0,9.0,86.0,5800.0,27.0,33.0,9095.0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,3.15,3.58,9095
39,0.0,85.0,96.5,175.4,65.2,54.1,2304.0,110.0,9.0,86.0,5800.0,27.0,33.0,8845.0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,3.15,3.58,8845
40,0.0,85.0,96.5,175.4,62.5,54.1,2372.0,110.0,9.0,86.0,5800.0,27.0,33.0,10295.0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,3.15,3.58,10295
41,0.0,85.0,96.5,175.4,65.2,54.1,2465.0,110.0,9.0,101.0,5800.0,24.0,28.0,12945.0,honda,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.15,3.58,12945
42,1.0,107.0,96.5,169.1,66.0,51.0,2293.0,110.0,9.1,100.0,5500.0,25.0,31.0,10345.0,honda,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.15,3.58,10345
43,0.0,115.0,94.3,170.7,61.8,53.5,2337.0,111.0,8.5,78.0,4800.0,24.0,29.0,6785.0,isuzu,gas,std,four,sedan,rwd,front,ohc,four,2bbl,3.31,3.23,6785
44,1.0,115.0,94.5,155.9,63.6,52.0,1874.0,90.0,9.6,70.0,5400.0,38.0,43.0,10295.0,isuzu,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.03,3.11,13499
45,0.0,115.0,94.5,155.9,63.6,52.0,1909.0,90.0,9.6,70.0,5400.0,38.0,43.0,10295.0,isuzu,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.03,3.11,13499
46,2.0,115.0,96.0,172.6,65.2,51.4,2734.0,119.0,9.2,90.0,5000.0,24.0,29.0,11048.0,isuzu,gas,std,two,hatchback,rwd,front,ohc,four,spfi,3.43,3.23,11048
47,0.0,145.0,113.0,199.6,69.6,52.8,4066.0,258.0,8.1,176.0,4750.0,15.0,19.0,32250.0,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,3.63,4.17,32250
48,0.0,115.0,113.0,199.6,69.6,52.8,4066.0,258.0,8.1,176.0,4750.0,15.0,19.0,35550.0,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,3.63,4.17,35550
49,0.0,115.0,102.0,191.7,70.6,47.8,3950.0,326.0,11.5,262.0,5000.0,13.0,17.0,36000.0,jaguar,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi,3.54,2.76,36000
50,1.0,104.0,93.1,159.1,64.2,54.1,1890.0,91.0,9.0,68.0,5000.0,30.0,31.0,5195.0,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.03,3.15,5195
51,1.0,104.0,93.1,159.1,64.2,54.1,1900.0,91.0,9.0,68.0,5000.0,31.0,38.0,6095.0,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.03,3.15,6095
52,1.0,104.0,93.1,159.1,64.2,54.1,1905.0,91.0,9.0,68.0,5000.0,31.0,38.0,6795.0,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.03,3.15,6795
53,1.0,113.0,93.1,166.8,64.2,54.1,1945.0,91.0,9.0,68.0,5000.0,31.0,38.0,6695.0,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.03,3.15,6695
54,1.0,113.0,93.1,166.8,64.2,54.1,1950.0,91.0,9.0,68.0,5000.0,31.0,38.0,7395.0,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.08,3.15,7395
55,3.0,150.0,95.3,169.0,65.7,49.6,2380.0,70.0,9.4,101.0,6000.0,17.0,23.0,10945.0,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,3.62,3.40,10945
56,3.0,150.0,95.3,169.0,65.7,49.6,2380.0,70.0,9.4,101.0,6000.0,17.0,23.0,11845.0,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,3.62,3.40,11845
57,3.0,150.0,95.3,169.0,65.7,49.6,2385.0,70.0,9.4,101.0,6000.0,17.0,23.0,13645.0,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,3.62,3.40,13645
58,3.0,150.0,95.3,169.0,65.7,49.6,2500.0,80.0,9.4,135.0,6000.0,16.0,23.0,15645.0,mazda,gas,std,two,hatchback,rwd,front,rotor,two,mpfi,3.62,3.40,15645
59,1.0,129.0,98.8,177.8,66.5,53.7,2385.0,122.0,8.6,84.0,4800.0,26.0,32.0,8845.0,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.39,3.39,8845
60,0.0,115.0,98.8,177.8,66.5,55.5,2410.0,122.0,8.6,84.0,4800.0,26.0,32.0,8495.0,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.39,3.39,8495
61,1.0,129.0,98.8,177.8,66.5,53.7,2385.0,122.0,8.6,84.0,4800.0,26.0,32.0,10595.0,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.39,3.39,10595
62,0.0,115.0,98.8,177.8,66.5,55.5,2410.0,122.0,8.6,84.0,4800.0,26.0,32.0,10245.0,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.39,3.39,10245
63,0.0,115.0,98.8,177.8,66.5,55.5,2443.0,122.0,22.7,64.0,4650.0,36.0,42.0,10795.0,mazda,diesel,std,four,sedan,fwd,front,ohc,four,idi,3.39,3.39,10795
64,0.0,115.0,98.8,177.8,66.5,55.5,2425.0,122.0,8.6,84.0,4800.0,26.0,32.0,11245.0,mazda,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,3.39,3.39,11245
65,0.0,118.0,104.9,175.0,66.1,54.4,2670.0,140.0,8.0,120.0,5000.0,19.0,27.0,18280.0,mazda,gas,std,four,sedan,rwd,front,ohc,four,mpfi,3.76,3.16,18280
66,0.0,115.0,104.9,175.0,66.1,54.4,2700.0,134.0,22.0,72.0,4200.0,31.0,39.0,18344.0,mazda,diesel,std,four,sedan,rwd,front,ohc,four,idi,3.43,3.64,18344
67,-1.0,93.0,110.0,190.9,70.3,56.5,3515.0,183.0,21.5,123.0,4350.0,22.0,25.0,25552.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,3.58,3.64,25552
68,-1.0,93.0,110.0,190.9,70.3,58.7,3750.0,183.0,21.5,123.0,4350.0,22.0,25.0,28248.0,mercedes-benz,diesel,turbo,four,wagon,rwd,front,ohc,five,idi,3.58,3.64,28248
69,0.0,93.0,106.7,187.5,70.3,54.9,3495.0,183.0,21.5,123.0,4350.0,22.0,25.0,28176.0,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi,3.58,3.64,28176
70,-1.0,93.0,115.6,202.6,71.7,56.3,3770.0,183.0,21.5,123.0,4350.0,22.0,25.0,31600.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,3.58,3.64,31600
71,-1.0,115.0,115.6,202.6,71.7,56.5,3740.0,234.0,8.3,155.0,4750.0,16.0,18.0,34184.0,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,3.46,3.10,34184
72,3.0,142.0,96.6,180.3,70.5,50.8,3685.0,234.0,8.3,155.0,4750.0,16.0,18.0,35056.0,mercedes-benz,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi,3.46,3.10,35056
73,0.0,115.0,120.9,208.1,71.7,56.7,3900.0,308.0,8.0,184.0,4500.0,14.0,16.0,40960.0,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,3.80,3.35,40960
74,1.0,115.0,112.0,199.2,72.0,55.4,3715.0,304.0,8.0,184.0,4500.0,14.0,16.0,45400.0,mercedes-benz,gas,std,two,hardtop,rwd,front,ohcv,eight,mpfi,3.80,3.35,45400
75,1.0,115.0,102.7,178.4,68.0,54.8,2910.0,140.0,8.0,175.0,5000.0,19.0,24.0,16503.0,mercury,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi,3.78,3.12,16503
76,2.0,161.0,93.7,157.3,64.4,50.8,1918.0,92.0,9.4,68.0,5500.0,37.0,41.0,5389.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97,3.23,5389
77,2.0,161.0,93.7,157.3,64.4,50.8,1944.0,92.0,9.4,68.0,5500.0,31.0,38.0,6189.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97,3.23,6189
78,2.0,161.0,93.7,157.3,64.4,50.8,2004.0,92.0,9.4,68.0,5500.0,31.0,38.0,6669.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,2.97,3.23,6669
79,1.0,161.0,93.0,157.3,63.8,50.8,2145.0,98.0,7.6,102.0,5500.0,24.0,30.0,7689.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.03,3.39,7689
80,3.0,153.0,96.3,173.0,65.4,49.4,2370.0,110.0,7.5,116.0,5500.0,23.0,30.0,9959.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.17,3.46,9959
81,3.0,153.0,96.3,173.0,65.4,49.4,2328.0,122.0,8.5,88.0,5000.0,25.0,32.0,8499.0,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.35,3.46,8499
82,3.0,115.0,95.9,173.2,66.3,50.2,2833.0,156.0,7.0,145.0,5000.0,19.0,24.0,12629.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.58,3.86,12629
83,3.0,115.0,95.9,173.2,66.3,50.2,2921.0,156.0,7.0,145.0,5000.0,19.0,24.0,14869.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.59,3.86,14869
84,3.0,115.0,95.9,173.2,66.3,50.2,2926.0,156.0,7.0,145.0,5000.0,19.0,24.0,14489.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,3.59,3.86,14489
85,1.0,125.0,96.3,172.4,65.4,51.6,2365.0,122.0,8.5,88.0,5000.0,25.0,32.0,6989.0,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.35,3.46,6989
86,1.0,125.0,96.3,172.4,65.4,51.6,2405.0,122.0,8.5,88.0,5000.0,25.0,32.0,8189.0,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.35,3.46,8189
87,1.0,125.0,96.3,172.4,65.4,51.6,2403.0,110.0,7.5,116.0,5500.0,23.0,30.0,9279.0,mitsubishi,gas,turbo,four,sedan,fwd,front,ohc,four,spdi,3.17,3.46,9279
88,-1.0,137.0,96.3,172.4,65.4,51.6,2403.0,110.0,7.5,116.0,5500.0,23.0,30.0,9279.0,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,spdi,3.17,3.46,9279
89,1.0,128.0,94.5,165.3,63.8,54.5,1889.0,97.0,9.4,69.0,5200.0,31.0,37.0,5499.0,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.15,3.29,5499
90,1.0,128.0,94.5,165.3,63.8,54.5,2017.0,103.0,21.9,55.0,4800.0,45.0,50.0,7099.0,nissan,diesel,std,two,sedan,fwd,front,ohc,four,idi,2.99,3.47,7099
91,1.0,128.0,94.5,165.3,63.8,54.5,1918.0,97.0,9.4,69.0,5200.0,31.0,37.0,6649.0,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.15,3.29,6649
92,1.0,122.0,94.5,165.3,63.8,54.5,1938.0,97.0,9.4,69.0,5200.0,31.0,37.0,6849.0,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.15,3.29,6849
93,1.0,103.0,94.5,170.2,63.8,53.5,2024.0,97.0,9.4,69.0,5200.0,31.0,37.0,7349.0,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.15,3.29,7349
94,1.0,128.0,94.5,165.3,63.8,54.5,1951.0,97.0,9.4,69.0,5200.0,31.0,37.0,7299.0,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,3.15,3.29,7299
95,1.0,128.0,94.5,165.6,63.8,53.3,2028.0,97.0,9.4,69.0,5200.0,31.0,37.0,7799.0,nissan,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.15,3.29,7799
96,1.0,122.0,94.5,165.3,63.8,54.5,1971.0,97.0,9.4,69.0,5200.0,31.0,37.0,7499.0,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.15,3.29,7499
97,1.0,103.0,94.5,170.2,63.8,53.5,2037.0,97.0,9.4,69.0,5200.0,31.0,37.0,7999.0,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.15,3.29,7999
98,2.0,168.0,95.1,162.4,63.8,53.3,2008.0,97.0,9.4,69.0,5200.0,31.0,37.0,8249.0,nissan,gas,std,two,hardtop,fwd,front,ohc,four,2bbl,3.15,3.29,8249
99,0.0,106.0,97.2,173.4,65.2,54.7,2324.0,120.0,8.5,97.0,5200.0,27.0,34.0,8949.0,nissan,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,3.33,3.47,8949
100,0.0,106.0,97.2,173.4,65.2,54.7,2302.0,120.0,8.5,97.0,5200.0,27.0,34.0,9549.0,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.33,3.47,9549
